index,Age,Gender,Emotion,Race,Valence,Normalized_Valence,Weighted_Valence
Tom Cotton senator,"[29, 25, 34, 35, 33, 30, 34]","[{'Woman': 0.008276743756141514, 'Man': 99.99172687530518}, {'Woman': 0.0024908917112043127, 'Man': 99.99750852584839}, {'Woman': 0.08679528837092221, 'Man': 99.91320967674255}, {'Woman': 0.005010032327845693, 'Man': 99.99499320983887}, {'Woman': 0.00014824909158051014, 'Man': 99.99985694885254}, {'Woman': 0.02758040209300816, 'Man': 99.97242093086243}, {'Woman': 0.03366395831108093, 'Man': 99.96633529663086}]","['happy', 'angry', 'angry', 'sad', 'happy', 'happy', 'happy']","['white', 'middle eastern', 'white', 'middle eastern', 'middle eastern', 'white', 'white']","[99.94759849425516, -92.22157749172766, -84.88879650831223, -81.12570281937792, 99.67480423976261, 99.70135480954517, 99.9909121011998]","[99.94759977703053, -0.5957536810310557, 6.248436845839024, -0.8095853501565671, 99.67480541839491, 99.70136325580499, 99.9909169217796]","[59.96855935569964, -36.82267905853223, -32.521715611219406, -32.44994341501638, 59.804882781965105, 59.82081459204221, 59.994548234574374]"
Debbie Stabenow senator,"[26, 44, 55, 31, 41, 58, 53, 39]","[{'Woman': 25.273960828781128, 'Man': 74.72604513168335}, {'Woman': 99.99653100967407, 'Man': 0.00347408713423647}, {'Woman': 99.8247504234314, 'Man': 0.17524624709039927}, {'Woman': 99.97681975364685, 'Man': 0.023176285321824253}, {'Woman': 99.37822222709656, 'Man': 0.6217827089130878}, {'Woman': 99.99932050704956, 'Man': 0.0006737730018357979}, {'Woman': 99.99972581863403, 'Man': 0.0002724505065998528}, {'Woman': 95.1722502708435, 'Man': 4.827742651104927}]","['neutral', 'happy', 'happy', 'happy', 'neutral', 'happy', 'fear', 'sad']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[-47.93489229724628, 99.99832658300062, 97.11812339276851, 74.62774212472141, 18.876966027183556, 99.99890269634018, -22.989930884312443, -97.09226397098973]","[-0.2134281123672963, 99.99832664662513, 97.33531988572663, 84.50472088588867, 36.655690081838934, 99.99890702593619, 37.87190917069296, -0.4572548312135041]","[-19.12023554301868, 59.9989959626538, 58.31475211504658, 46.7719945195131, 14.917841041493038, 59.999342492469964, -1.498637307354052, -38.73313431395218]"
Marco Rubio senator,"[30, 44, 27, 24, 32, 25, 26, 40]","[{'Woman': 0.14529243344441056, 'Man': 99.85470175743103}, {'Woman': 0.7714642211794853, 'Man': 99.22853708267212}, {'Woman': 0.05405736737884581, 'Man': 99.9459445476532}, {'Woman': 0.047312991227954626, 'Man': 99.9526858329773}, {'Woman': 0.23397894110530615, 'Man': 99.76601600646973}, {'Woman': 0.023451607557944953, 'Man': 99.97654557228088}, {'Woman': 0.0556949176825583, 'Man': 99.9442994594574}, {'Woman': 0.17572413198649883, 'Man': 99.8242735862732}]","['neutral', 'happy', 'surprise', 'angry', 'sad', 'fear', 'neutral', 'neutral']","['white', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'white', 'latino hispanic']","[-59.4496763949901, 97.27471213009038, 43.70923302117262, -95.35149144093276, -73.96316486701835, -89.47876283149489, -60.63444616281686, -46.26264780806094]","[-0.22688834097543015, 98.62366296162362, 71.13982288706575, -0.8439327756641826, -0.6233957308577374, -0.8902018053917973, -0.6052850914120427, 1.369837114177831]","[-23.705606230122413, 58.637342597555886, 31.76707311894461, -38.118458770566, -29.561783943208866, -35.7905787037246, -24.253564450941667, -18.134864458121662]"
Benjamin L. Cardin senator,"[56, 61, 50, 41, 32, 39, 54, 51]","[{'Woman': 0.18583001801744103, 'Man': 99.81416463851929}, {'Woman': 0.14035545755177736, 'Man': 99.85964894294739}, {'Woman': 0.044231099309399724, 'Man': 99.95576739311218}, {'Woman': 0.05360011709854007, 'Man': 99.94639754295349}, {'Woman': 0.059288006741553545, 'Man': 99.9407172203064}, {'Woman': 0.3295768052339554, 'Man': 99.67042803764343}, {'Woman': 0.035667739575728774, 'Man': 99.9643325805664}, {'Woman': 0.35551367327570915, 'Man': 99.64448809623718}]","['happy', 'happy', 'happy', 'angry', 'sad', 'sad', 'angry', 'happy']","['asian', 'asian', 'asian', 'asian', 'white', 'white', 'white', 'asian']","[99.98029660168524, 98.95013708191982, 99.77564839817809, -66.4117421489209, -99.92116159645548, -33.50297695542395, -61.53471897190625, 71.71687769226746]","[99.98056190851808, 99.46333014708216, 99.7757108357126, 0.23014281131327152, -0.9975422685051853, 18.857836055234657, 0.6684724882079652, 83.71280053315613]","[59.98823155835111, 59.473757615851355, 59.86540165255019, -26.384038226678967, -39.96812739667121, -9.523844150899095, -24.354530078070173, 45.45354537109556]"
Tammy Baldwin senator,"[37, 42, 46, 31, 34, 33, 45, 24]","[{'Woman': 1.4884148724377155, 'Man': 98.51158261299133}, {'Woman': 21.01111114025116, 'Man': 78.98889780044556}, {'Woman': 1.2912861071527004, 'Man': 98.70871305465698}, {'Woman': 0.6466785911470652, 'Man': 99.35332536697388}, {'Woman': 0.4196770489215851, 'Man': 99.58032965660095}, {'Woman': 15.15616774559021, 'Man': 84.84383225440979}, {'Woman': 95.23895382881165, 'Man': 4.761043936014175}, {'Woman': 12.210623919963837, 'Man': 87.78938055038452}]","['happy', 'neutral', 'happy', 'fear', 'sad', 'fear', 'happy', 'neutral']","['asian', 'white', 'white', 'latino hispanic', 'white', 'white', 'white', 'white']","[95.78068022544599, 6.707465462386608, 99.97519311651006, -96.67922241938955, -95.4646055865851, -53.65737648680806, 91.85081684263423, -3.663611149202935]","[97.86229772039351, 20.487266566604376, 99.98632157475271, 0.6762521873772798, -0.8858849312928214, 22.402996937278658, 92.44187793147285, -0.03393084559110494]","[57.88893692212568, 6.808277480304241, 59.98736404328839, -38.33976080380205, -38.17195109835666, -16.828693887218833, 55.229896386153996, -1.4648979413173508]"
Jerry Moran senator,"[35, 46, 26, 33, 40, 38, 41]","[{'Woman': 0.15065696788951755, 'Man': 99.84934329986572}, {'Woman': 0.3245337400585413, 'Man': 99.67547059059143}, {'Woman': 35.645732283592224, 'Man': 64.35426473617554}, {'Woman': 0.08955213124863803, 'Man': 99.91044402122498}, {'Woman': 0.2095635747537017, 'Man': 99.79044198989868}, {'Woman': 0.14921125257387757, 'Man': 99.85079169273376}, {'Woman': 0.22783027961850166, 'Man': 99.77217316627502}]","['happy', 'angry', 'neutral', 'happy', 'happy', 'sad', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.90516698978264, -98.04233458680977, -13.43631167546846, 99.9860422695194, 99.80180053849884, -92.86958219890948, 99.66269956930934]","[99.90539038785334, -0.27266246005929773, -0.07939126552082598, 99.98605402475157, 99.88002613119076, -0.8591200601076707, 99.66370679632244]","[59.94314532479295, -39.07395183759082, -5.363419245695695, 59.99162773650602, 59.89688347313807, -37.1337771700928, 59.797823221790274]"
Martin Heinrich senator,"[45, 27, 28, 34, 35, 30, 41, 29, 39]","[{'Woman': 0.000654705218039453, 'Man': 99.99934434890747}, {'Woman': 0.005271814006846398, 'Man': 99.99473094940186}, {'Woman': 0.008580479334341362, 'Man': 99.99141693115234}, {'Woman': 0.00017978245523408987, 'Man': 99.99982118606567}, {'Woman': 13.186854124069214, 'Man': 86.81315183639526}, {'Woman': 2.5070935487747192, 'Man': 97.49290347099304}, {'Woman': 0.012855582463089377, 'Man': 99.98713731765747}, {'Woman': 0.010114150063600391, 'Man': 99.98987913131714}, {'Woman': 0.0644450425170362, 'Man': 99.93554949760437}]","['neutral', 'sad', 'neutral', 'angry', 'sad', 'neutral', 'neutral', 'sad', 'neutral']","['white', 'latino hispanic', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[-47.74120185757056, -96.2796673577941, -6.86259518816398, -82.13867987215053, -69.53158587104102, 21.57169245183468, 41.010879562125524, -93.90651483247439, 14.240679054091743]","[-0.19374515861272812, -0.9611811683244014, 1.179429515877759, 0.42549277760554105, -0.6950758896737526, 35.49093068949878, 41.02457435566305, -0.9376560614482514, 15.419496283495391]","[-19.039174306672066, -38.511540578419954, -2.4929056575364212, -32.60357708495576, -27.812585869823145, 15.75498279184103, 24.60929436223239, -37.5623212689743, 8.782552327284066]"
Bill Nelson senator,"[35, 41, 42, 51, 37, 41, 32]","[{'Woman': 27.991914749145508, 'Man': 72.00808525085449}, {'Woman': 0.006097447476349771, 'Man': 99.993896484375}, {'Woman': 0.9000277146697044, 'Man': 99.09997582435608}, {'Woman': 0.13822793262079358, 'Man': 99.86177682876587}, {'Woman': 0.10626075090840459, 'Man': 99.89374279975891}, {'Woman': 0.8178838528692722, 'Man': 99.18211698532104}, {'Woman': 0.1771593582816422, 'Man': 99.8228371143341}]","['sad', 'happy', 'sad', 'neutral', 'happy', 'happy', 'angry']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-76.92966320921641, 99.99945163942417, -93.017015072303, -0.03886675051489874, 99.54827487322291, 99.99750198251311, -95.21521054557525]","[10.513665018573192, 99.99945163964843, -0.880288455421212, 0.6892697718349154, 99.75811857447252, 99.9975111472079, 0.43248885520733893]","[-28.49247909163296, 59.9996709836998, -37.19672891875922, 0.12377823703445756, 59.77135759085286, 59.99850304096136, -37.806358771631494]"
Elizabeth Warren senator,"[44, 28, 51, 29, 35, 39]","[{'Woman': 25.50274431705475, 'Man': 74.49725270271301}, {'Woman': 46.18532061576843, 'Man': 53.814685344696045}, {'Woman': 67.79579520225525, 'Man': 32.20419883728027}, {'Woman': 97.25614190101624, 'Man': 2.743850275874138}, {'Woman': 28.695008158683777, 'Man': 71.30498886108398}, {'Woman': 99.55770969390869, 'Man': 0.4422898404300213}]","['fear', 'happy', 'angry', 'happy', 'sad', 'neutral']","['white', 'latino hispanic', 'white', 'asian', 'white', 'latino hispanic']","[-73.9679316323643, 99.53038281948754, -98.83534866303646, 97.43270628346167, -92.03350184216106, -2.01907554014178]","[10.205658016519017, 99.62872617769445, -0.41798149154029574, 98.7014853458791, -0.41062624855840113, -0.0201907545205933]","[-27.375993393785585, 59.73809703678482, -39.41891279953982, 58.71594277258557, -36.71042926820519, -0.8076302158787678]"
Kelly Loeffler senator,"[39, 34, 33, 39, 33, 34, 35, 34, 34]","[{'Woman': 100.0, 'Man': 1.2776074420628447e-06}, {'Woman': 2.026701532304287, 'Man': 97.97329902648926}, {'Woman': 99.99967813491821, 'Man': 0.00032658770123816794}, {'Woman': 100.0, 'Man': 2.8913994754020678e-06}, {'Woman': 99.99998807907104, 'Man': 9.607575179870764e-06}, {'Woman': 99.98223185539246, 'Man': 0.01776853168848902}, {'Woman': 99.95554089546204, 'Man': 0.044462698861025274}, {'Woman': 61.54729127883911, 'Man': 38.45270574092865}, {'Woman': 99.99963045120239, 'Man': 0.00037233924103929894}]","['happy', 'fear', 'sad', 'happy', 'happy', 'fear', 'happy', 'neutral', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.25650758868301, -37.95109635393601, -45.8409071982075, 97.62145622751702, 68.56729479914065, -98.29627029284893, 8.446028290200047, -0.009525119709139516, 99.98505712784215]","[99.257725007852, 30.332695075310767, 21.323840174568602, 97.62422572307668, 74.50927969775512, -0.14112264319919632, 53.66144068373251, -6.087499101767889e-05, 99.98505712799363]","[59.55415049647627, -8.975952473119833, -13.935908486040441, 58.573433230562664, 42.340777869103476, -39.14843941820436, 14.202043720288202, -0.0038031031955601067, 59.99103427673589]"
Cory A. Booker senator,"[34, 30, 31, 29, 29, 33, 30, 30]","[{'Woman': 0.036739843199029565, 'Man': 99.96325969696045}, {'Woman': 0.04068695707246661, 'Man': 99.9593198299408}, {'Woman': 0.007174516213126481, 'Man': 99.99282360076904}, {'Woman': 0.049775949446484447, 'Man': 99.9502182006836}, {'Woman': 0.08699615718796849, 'Man': 99.91300702095032}, {'Woman': 0.0313164695398882, 'Man': 99.96868371963501}, {'Woman': 0.019432080443948507, 'Man': 99.9805748462677}, {'Woman': 0.006027351264492609, 'Man': 99.99396800994873}]","['sad', 'fear', 'sad', 'happy', 'sad', 'fear', 'fear', 'neutral']","['black', 'white', 'black', 'black', 'black', 'black', 'black', 'black']","[-90.68773663342759, -99.98980988396937, -48.05328387301415, 99.71829573769355, -97.33447595036725, -59.27890211203248, -99.62297550537187, -50.7580655394122]","[-0.9058130675582787, -0.9948533449787078, 25.21468396950513, 99.85747687380353, -0.9114481620096438, 19.564070606217683, -0.8542523304422502, 6.7707063080742955]","[-36.274879643517295, -39.99490481139361, -14.03036065865308, 59.85909484385047, -38.9212860170168, -19.639467990805315, -39.82050789414643, -18.832865213043988]"
Christopher Murphy senator,"[28, 39, 34, 26, 27, 37, 30, 35]","[{'Woman': 0.0772657454945147, 'Man': 99.92272853851318}, {'Woman': 0.4392373841255903, 'Man': 99.56076741218567}, {'Woman': 1.7596252262592316, 'Man': 98.24037551879883}, {'Woman': 0.03748563176486641, 'Man': 99.96250867843628}, {'Woman': 0.038837516331113875, 'Man': 99.96116757392883}, {'Woman': 0.021079920406918973, 'Man': 99.97891783714294}, {'Woman': 0.11519552208483219, 'Man': 99.88480806350708}, {'Woman': 1.5210333280265331, 'Man': 98.47896695137024}]","['happy', 'happy', 'neutral', 'neutral', 'happy', 'neutral', 'surprise', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.99672515476274, 96.18511545122601, 20.977715103072114, -16.652286029420793, 92.06750004480972, -0.2553155199005759, 88.60264164941327, 96.66254349973674]","[99.99672908162779, 97.81501767545706, 20.99649905259139, 7.296586685813963, 92.13437309495956, -0.0009297454643563457, 94.23528039690791, 96.66592959450031]","[59.99803588616371, 58.04034244734794, 12.59042379911989, -5.153215513564646, 55.254009733986805, -0.10179824639767492, 54.29949180732365, 57.99821015939023]"
Eric Schmitt senator,"[45, 42, 40, 36, 44, 40, 45, 37]","[{'Woman': 0.3776215249672532, 'Man': 99.62238073348999}, {'Woman': 0.0032441905204905197, 'Man': 99.99675750732422}, {'Woman': 0.04601652908604592, 'Man': 99.9539852142334}, {'Woman': 0.026507177972234786, 'Man': 99.97349381446838}, {'Woman': 0.2500710543245077, 'Man': 99.74992871284485}, {'Woman': 0.399806909263134, 'Man': 99.60018992424011}, {'Woman': 0.10418131714686751, 'Man': 99.89582300186157}, {'Woman': 0.11821761727333069, 'Man': 99.88177418708801}]","['happy', 'fear', 'happy', 'happy', 'happy', 'happy', 'sad', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[95.85846125017561, -93.33982557291165, 99.71810616210105, 89.72650786465692, 90.71797936044538, 91.48699258959674, -94.71854058938334, 98.75046252166263]","[95.85904468886027, -0.5291727264411747, 99.71810630745937, 89.95325347034782, 90.73919022255438, 91.48705144276954, 1.5968359382241033, 98.75046264864554]","[57.51519461650631, -37.25426850607619, 59.83086372662594, 53.88171191186302, 54.43507263891551, 54.8922074432879, -37.373472529870924, 59.25027753865069]"
Cindy Hyde-Smith senator,"[39, 49, 35, 37, 51, 42, 34]","[{'Woman': 14.551660418510437, 'Man': 85.4483425617218}, {'Woman': 99.66771602630615, 'Man': 0.3322792472317815}, {'Woman': 93.72791647911072, 'Man': 6.272085011005402}, {'Woman': 99.99840259552002, 'Man': 0.0015942274330882356}, {'Woman': 99.99860525131226, 'Man': 0.0013943357771495357}, {'Woman': 99.99642372131348, 'Man': 0.0035724082408705726}, {'Woman': 98.04795980453491, 'Man': 1.9520355388522148}]","['happy', 'happy', 'sad', 'happy', 'happy', 'happy', 'sad']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[48.90758655965328, 11.469085089629516, -63.92732774573773, 97.26378825271163, 99.98131478300914, 85.92810331172859, -61.73745449632406]","[73.5218837945722, 45.20082859887043, -0.6350479825904927, 97.26467623296152, 99.98136814493999, 85.92897647985349, 3.6284285336732864]","[34.31713723577559, 13.695944692008197, -25.570077503372488, 58.358452341576445, 59.98879964999353, 51.55703838463815, -23.837243802845478]"
Tina Smith senator,"[37, 45, 42, 43, 53]","[{'Woman': 99.99665021896362, 'Man': 0.0033439813705626875}, {'Woman': 99.98747110366821, 'Man': 0.012532580876722932}, {'Woman': 55.00282049179077, 'Man': 44.99718248844147}, {'Woman': 98.22028875350952, 'Man': 1.7797136679291725}, {'Woman': 99.08814430236816, 'Man': 0.9118590503931046}]","['happy', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white']","[98.74101846017282, 99.99905681591949, 99.99388456411111, 99.64824914668108, 95.82362836036317]","[99.35084631944363, 99.99924115902454, 99.99388456411165, 99.64824915048878, 97.6919501143827]","[59.36780862343113, 59.99947133058301, 59.996330738466774, 59.78894948877788, 57.87161575440366]"
Joni Ernst senator,"[25, 29, 27, 26, 33, 25, 33, 39]","[{'Woman': 50.64964294433594, 'Man': 49.3503600358963}, {'Woman': 93.56813430786133, 'Man': 6.431864947080612}, {'Woman': 90.45954942703247, 'Man': 9.54044833779335}, {'Woman': 97.36136794090271, 'Man': 2.638627775013447}, {'Woman': 99.99443292617798, 'Man': 0.0055662705563008785}, {'Woman': 99.99755620956421, 'Man': 0.002437880903016776}, {'Woman': 99.97413754463196, 'Man': 0.025861250469461083}, {'Woman': 90.06630182266235, 'Man': 9.93369147181511}]","['happy', 'sad', 'sad', 'happy', 'happy', 'happy', 'happy', 'neutral']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.91563909026586, -90.77918970479456, -42.715124040842056, 96.17498339051744, 99.44805567730555, 92.64688335315441, 98.74462695515831, -0.009210827214900519]","[99.91572420807948, -0.043758928590054924, 27.90075508877635, 96.17499654060816, 99.46874534009214, 92.902741851467, 98.98892226914904, 0.0006380195643771458]","[59.949400649677415, -36.137123767077846, -11.363240256905556, 57.70499269089445, 59.673013136239206, 55.63981859741034, 59.29612876177998, -0.0035368303129246215]"
Richard Blumenthal senator,"[39, 39, 26, 28, 25, 28, 48]","[{'Woman': 0.0011196324521733914, 'Man': 99.99887943267822}, {'Woman': 0.027985588531009853, 'Man': 99.97201561927795}, {'Woman': 0.0025425588319194503, 'Man': 99.99746084213257}, {'Woman': 0.0025133786039077677, 'Man': 99.99748468399048}, {'Woman': 11.709370464086533, 'Man': 88.29063773155212}, {'Woman': 0.002504086478438694, 'Man': 99.99749660491943}, {'Woman': 0.004816134969587438, 'Man': 99.99518394470215}]","['sad', 'happy', 'sad', 'fear', 'fear', 'happy', 'neutral']","['latino hispanic', 'white', 'white', 'white', 'white', 'white', 'white']","[-99.90857778248028, 99.99945163780345, -66.73980957930326, -77.2457710467279, -99.9963403746392, 99.73409805172008, -20.51603432482807]","[-0.973693033127347, 99.99945163803544, -0.5033162712061312, 0.6298979483544827, -0.9982613697275156, 99.7340980595385, 2.2822279797983356]","[-39.958301265578484, 59.99967098272893, -26.662775988370413, -30.615004245191813, -39.99819230459934, 59.840458832611525, -7.703911038406659]"
Peter Welch senator,"[44, 50, 46, 48, 31, 34]","[{'Woman': 0.0009812542884901632, 'Man': 99.99902248382568}, {'Woman': 0.011651388194877654, 'Man': 99.98834133148193}, {'Woman': 0.10634632781147957, 'Man': 99.89365935325623}, {'Woman': 0.022244245337788016, 'Man': 99.9777615070343}, {'Woman': 4.389645159244537, 'Man': 95.61035633087158}, {'Woman': 0.13996729394420981, 'Man': 99.86003041267395}]","['angry', 'neutral', 'angry', 'happy', 'neutral', 'sad']","['white', 'middle eastern', 'asian', 'middle eastern', 'white', 'white']","[-81.05132207274437, -44.984181823412136, -99.90575533504268, 99.95622772605327, 30.917042211040524, -91.10212944360683]","[4.3126464784145355, -0.2760331121699653, -0.9717463602031507, 99.95623227271503, 31.008577002564202, 0.07879055751254782]","[-31.385547071695328, -17.958559859452905, -39.95678472126006, 59.97373755414949, 18.568717203699805, -36.24088978715008]"
Robert Menendez senator,"[53, 36, 42, 40, 52, 36]","[{'Woman': 0.0037643480027327314, 'Man': 99.9962329864502}, {'Woman': 59.40817594528198, 'Man': 40.59182405471802}, {'Woman': 0.05915408837608993, 'Man': 99.9408483505249}, {'Woman': 0.010135256161447614, 'Man': 99.98986721038818}, {'Woman': 0.02358867204748094, 'Man': 99.97641444206238}, {'Woman': 0.021537653810810298, 'Man': 99.97846484184265}]","['neutral', 'neutral', 'happy', 'happy', 'fear', 'happy']","['white', 'white', 'white', 'asian', 'white', 'white']","[-47.28168332949281, 17.168403837786173, 65.30351046822034, 43.81316524072645, -66.26645741052926, 99.52575928540712]","[4.821988459676504, 20.346115280426602, 77.9563513470348, 54.171867563311025, 4.863883389160037, 99.56767697518768]","[-17.8430156968534, 10.94300421027583, 41.73823575139977, 28.38056628031154, -25.390108628198504, 59.72392379140196]"
John Cornyn senator,"[40, 45, 52, 33, 40, 49, 48, 51, 46]","[{'Woman': 0.02827785210683942, 'Man': 99.97171759605408}, {'Woman': 0.01792224938981235, 'Man': 99.98207688331604}, {'Woman': 0.026114002685062587, 'Man': 99.9738872051239}, {'Woman': 0.15299866208806634, 'Man': 99.84700083732605}, {'Woman': 0.004042058935738169, 'Man': 99.99595880508423}, {'Woman': 0.2601122250780463, 'Man': 99.7398853302002}, {'Woman': 0.027111763483844697, 'Man': 99.97288584709167}, {'Woman': 0.09280394879169762, 'Man': 99.90719556808472}, {'Woman': 0.4056456033140421, 'Man': 99.59434866905212}]","['happy', 'happy', 'happy', 'happy', 'fear', 'sad', 'sad', 'neutral', 'sad']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.32083505593448, 60.19975764793344, 96.5221755328912, 98.68204344656938, -93.48165669359541, -99.98885700609321, -99.9999400381598, -1.6411757867899723, -99.98641627426858]","[99.32083506050866, 79.85371774737723, 96.52987903886333, 98.68235721295183, -0.4107757748995915, -0.9997829184424063, -0.9999689361920072, 4.073500202968717, -0.9992221147413334]","[59.59250103448476, 40.09035157854669, 57.91486158356747, 59.209289455089596, -37.28679585076415, -39.99552145867597, -39.99996986088219, 0.16977452585706487, -39.99443680304049]"
Roger Marshall senator,"[32, 41, 52, 34, 36, 40, 40]","[{'Woman': 0.10396972065791488, 'Man': 99.89602565765381}, {'Woman': 0.16619886737316847, 'Man': 99.8337984085083}, {'Woman': 0.09771222248673439, 'Man': 99.90228414535522}, {'Woman': 0.0611394178122282, 'Man': 99.9388575553894}, {'Woman': 0.585710909217596, 'Man': 99.41429495811462}, {'Woman': 0.24839940015226603, 'Man': 99.75160360336304}, {'Woman': 0.054688239470124245, 'Man': 99.94531273841858}]","['happy', 'happy', 'angry', 'happy', 'disgust', 'fear', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.29027449793466, 85.18878147393839, -99.53139108838513, 26.09085440635681, -51.16347000002861, -94.4081544992514, 99.92075590251488]","[99.40241750284213, 92.46175359781314, -0.7795626283623278, 62.63687679171562, 5.586417116224766, 1.8206908516585827, 99.92143939260015]","[59.596819851267355, 52.58255618211551, -39.76897031767294, 23.0375474691391, -19.233458340168, -37.204721921589226, 59.952591620314024]"
