index,Age,Gender,Emotion,Race,Valence,Normalized_Valence,Weighted_Valence
Ted Budd senator,"[31, 37, 45, 41, 33, 30, 36, 28, 29]","[{'Woman': 0.00039017236304061953, 'Man': 99.99960660934448}, {'Woman': 75.09134411811829, 'Man': 24.908657371997833}, {'Woman': 0.0034742330171866342, 'Man': 99.99653100967407}, {'Woman': 0.0046006189222680405, 'Man': 99.99539852142334}, {'Woman': 0.005280760160530917, 'Man': 99.9947190284729}, {'Woman': 0.039663625648245215, 'Man': 99.96033310890198}, {'Woman': 0.02419966767774895, 'Man': 99.97579455375671}, {'Woman': 0.0011834423276013695, 'Man': 99.99881982803345}, {'Woman': 0.002708861939026974, 'Man': 99.9972939491272}]","['happy', 'neutral', 'happy', 'happy', 'sad', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[87.35956432392086, -0.006462275407076836, 86.27922241805521, 99.86755767261013, -99.99995581408575, 98.36985217058911, 91.56201830465619, 97.18563461283338, 95.95087609130431]","[91.19461848233415, -4.833169081113094e-05, 86.28068990783252, 99.86755885426527, -0.9999995071941666, 98.84745284083817, 91.65190756361282, 97.51464486035547, 95.95089670398005]","[53.19049701019359, -0.0025816190389398985, 51.7678299134144, 59.92053484228429, -39.99998231534204, 59.11839628624217, 54.955370429047576, 58.37784748437116, 57.5705298189595]"
Katie Boyd Britt senator,"[26, 33, 38, 30, 31, 32]","[{'Woman': 99.99990463256836, 'Man': 9.287526268053625e-05}, {'Woman': 99.99984502792358, 'Man': 0.00014956749510020018}, {'Woman': 99.99674558639526, 'Man': 0.0032591775379842147}, {'Woman': 94.92771029472351, 'Man': 5.0722915679216385}, {'Woman': 99.99972581863403, 'Man': 0.000274591820925707}, {'Woman': 99.99942779541016, 'Man': 0.000571860346099129}]","['happy', 'happy', 'fear', 'neutral', 'happy', 'fear']","['white', 'white', 'latino hispanic', 'white', 'white', 'latino hispanic']","[96.79910606446278, 97.84921808791984, -90.82068485442906, 2.7016302548730664, 99.97664896361127, -49.53331239124084]","[96.79913445311682, 97.85289301652354, 3.2292384343885443, 4.261497605548698, 99.97664896442136, 24.485678702151635]","[58.07946937375928, 58.71027326257084, -35.492426409866, 1.9361028702320482, 59.98598937833041, -14.766655900725825]"
Patty Murray senator,"[24, 25, 38, 50, 46]","[{'Woman': 72.2534716129303, 'Man': 27.746525406837463}, {'Woman': 3.0071038752794266, 'Man': 96.99289202690125}, {'Woman': 87.00461983680725, 'Man': 12.99537718296051}, {'Woman': 99.9126136302948, 'Man': 0.08738783653825521}, {'Woman': 0.3672526450827718, 'Man': 99.63274598121643}]","['happy', 'fear', 'happy', 'neutral', 'fear']","['asian', 'white', 'white', 'white', 'white']","[92.46904450946947, -84.40597334702034, 99.99572205652238, -29.61975757498294, -57.05763970193355]","[95.6128434437309, -0.8272638377966359, 99.99619248651426, 11.962269547395408, 20.684881301440676]","[56.11653760149207, -33.75899622857105, 59.997528270275424, -9.371445025317371, -18.529024022498675]"
Bill Cassidy senator,"[35, 51, 53, 44, 33, 30]","[{'Woman': 0.006983892671996728, 'Man': 99.99301433563232}, {'Woman': 0.21465965546667576, 'Man': 99.78533387184143}, {'Woman': 0.043654319597408175, 'Man': 99.95633959770203}, {'Woman': 0.11448865989223123, 'Man': 99.88551139831543}, {'Woman': 0.003656871194834821, 'Man': 99.99634027481079}, {'Woman': 60.724443197250366, 'Man': 39.275553822517395}]","['neutral', 'happy', 'fear', 'happy', 'sad', 'neutral']","['white', 'white', 'white', 'white', 'white', 'white']","[-5.826590757533268, 99.9999999533586, -99.86405382734915, 99.99999999998627, -86.19176486742026, -13.497837143950164]","[3.322954119397764, 99.99999999953374, -0.9313520900794346, 100.00000000000068, 0.6396742367084614, 4.641638524248265]","[-1.6475615500894492, 59.99999998134347, -39.93202790504188, 59.99999999999467, -34.1733540509312, -4.434161747340113]"
Roy Blunt senator,"[33, 26, 31, 27, 37, 38, 27]","[{'Woman': 0.8726782165467739, 'Man': 99.12732243537903}, {'Woman': 0.004922457446809858, 'Man': 99.99507665634155}, {'Woman': 0.08738122414797544, 'Man': 99.91262555122375}, {'Woman': 0.047799211461097, 'Man': 99.95219707489014}, {'Woman': 0.005827336644870229, 'Man': 99.99417066574097}, {'Woman': 0.006450719956774265, 'Man': 99.9935507774353}, {'Woman': 0.02920575498137623, 'Man': 99.97078776359558}]","['happy', 'neutral', 'sad', 'angry', 'happy', 'happy', 'angry']","['white', 'latino hispanic', 'asian', 'white', 'asian', 'latino hispanic', 'white']","[68.76518016433693, -51.94751466624439, -99.92057312831093, -97.13732142483151, 64.10436596888758, 75.39679377005086, -81.89778593368828]","[83.43602036949596, 0.7320844540372491, -0.984845218237517, 0.26159265895014594, 64.17845571170255, 75.49973560602666, 3.6034705471247435]","[44.222914200654486, -20.52616554312408, -39.96532813757779, -38.60584455514504, 38.47758720614365, 45.25887259253068, -31.865690452978015]"
James M. Inhofe senator,"[46, 51, 48, 49, 47, 49, 51]","[{'Woman': 0.006167354149511084, 'Man': 99.99383687973022}, {'Woman': 0.1530875451862812, 'Man': 99.84690546989441}, {'Woman': 3.692147880792618, 'Man': 96.30784392356873}, {'Woman': 0.10959065984934568, 'Man': 99.89041090011597}, {'Woman': 0.09146707016043365, 'Man': 99.90853071212769}, {'Woman': 0.060374499298632145, 'Man': 99.93962049484253}, {'Woman': 0.11946151498705149, 'Man': 99.88054037094116}]","['happy', 'fear', 'neutral', 'happy', 'happy', 'happy', 'neutral']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[97.65598983636892, -99.76331956721779, -29.74084635769234, 99.71827882288576, 99.71079320586419, 98.87743586932505, -22.46210606826935]","[97.77485066801057, -0.9946049346603368, -0.20282812442186327, 99.71828981241224, 99.71083891727432, 98.8951563348786, -0.06609993858728558]","[58.61760619104189, -39.904716056985734, -11.877231403853692, 59.830969513837815, 59.82648515814682, 59.33004141362605, -8.952817958197556]"
Dan Sullivan senator,"[37, 33, 41, 49, 33]","[{'Woman': 0.13107050908729434, 'Man': 99.8689353466034}, {'Woman': 0.24684853851795197, 'Man': 99.7531533241272}, {'Woman': 0.036596067366190255, 'Man': 99.96340274810791}, {'Woman': 0.015364280261565, 'Man': 99.9846339225769}, {'Woman': 0.039882666897028685, 'Man': 99.96011853218079}]","['happy', 'happy', 'fear', 'angry', 'sad']","['white', 'white', 'white', 'white', 'white']","[84.86328961153049, 86.56503892234468, -97.32922757839333, -99.96870783570766, -91.80093367358495]","[85.57948759270948, 86.6828066812559, 0.3320816005252709, -0.999687077234324, -0.3535745456611039]","[51.062660227762535, 51.96281481985352, -38.66797913715345, -39.98748313405625, -36.60634623891383]"
John Boozman senator,"[44, 47, 51, 53, 39, 52, 54, 51]","[{'Woman': 0.08139109122566879, 'Man': 99.9186098575592}, {'Woman': 0.024574805865995586, 'Man': 99.9754250049591}, {'Woman': 0.002229390520369634, 'Man': 99.9977707862854}, {'Woman': 0.0017701102478895336, 'Man': 99.99823570251465}, {'Woman': 0.003655214823083952, 'Man': 99.99634027481079}, {'Woman': 0.0002778161615424324, 'Man': 99.99972581863403}, {'Woman': 1.7067836597561836, 'Man': 98.29320907592773}, {'Woman': 0.005190695446799509, 'Man': 99.99481439590454}]","['sad', 'sad', 'neutral', 'neutral', 'sad', 'neutral', 'sad', 'angry']","['white', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'latino hispanic', 'white']","[-89.32037397007656, -94.18729626948578, -2.76412184612127, -6.917766291439454, -90.72466717564728, -47.1281953738071, -81.98818140663207, -69.67574869753638]","[0.19565607137607677, 0.6407638713551915, 0.6053803588147275, 0.5439395048895322, -0.2286283962670408, 0.2346260487101972, 6.703265776857734, -0.35383559377254536]","[-35.5081779090252, -37.355193894854914, -0.9777655915240757, -2.6432444624739784, -36.152772269149935, -18.708670472260565, -31.275444766506553, -27.80102232887257]"
Jeanne Shaheen senator,"[34, 41, 35, 34, 38, 40, 46, 42]","[{'Woman': 72.94994592666626, 'Man': 27.050048112869263}, {'Woman': 99.96986389160156, 'Man': 0.03014003741554916}, {'Woman': 88.52011561393738, 'Man': 11.479884386062622}, {'Woman': 22.391343116760254, 'Man': 77.60865688323975}, {'Woman': 99.98555183410645, 'Man': 0.014448356523644179}, {'Woman': 80.33429384231567, 'Man': 19.665712118148804}, {'Woman': 23.430219292640686, 'Man': 76.56978368759155}, {'Woman': 98.91749620437622, 'Man': 1.0825032368302345}]","['fear', 'happy', 'happy', 'surprise', 'happy', 'happy', 'angry', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[-83.0409958810776, 99.96749178080829, 99.89707212265404, 6.749374966093036, 99.93928745907307, 99.99993795438316, -92.04706083401106, 99.99991650998192]","[-0.8264396348371861, 99.96749178084747, 99.94755652983136, 50.55138436275367, 99.93928746055961, 99.99994037151754, 2.5304903446231037, 99.99991655308204]","[-33.21559626677981, 59.980495068492885, 59.94844214372925, 12.89851576685999, 59.96357247574416, 59.99996326093987, -36.12166050472297, 59.999949914696245]"
Claire McCaskill senator,"[28, 49, 42, 53, 49, 46]","[{'Woman': 20.035474002361298, 'Man': 79.96452450752258}, {'Woman': 82.78697729110718, 'Man': 17.213022708892822}, {'Woman': 99.24065470695496, 'Man': 0.7593462243676186}, {'Woman': 99.99998807907104, 'Man': 1.6195205887470365e-05}, {'Woman': 99.9987244606018, 'Man': 0.0012706245797744486}, {'Woman': 99.99995231628418, 'Man': 4.517984280028031e-05}]","['fear', 'surprise', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white']","[-99.99910386197598, 86.3513689568208, 96.98466170591053, 99.99969609095992, 99.99859336898152, 99.99996423721659]","[-0.9996548548285535, 93.07621139817638, 96.98729814294184, 99.99969613901916, 99.99859337401557, 99.99996423721659]","[-39.99957362887298, 53.169375402649166, 58.19132963708799, 59.99981766428488, 59.99915602240589, 59.99997854232995]"
Maria Cantwell senator,"[43, 41, 31, 32]","[{'Woman': 99.78607296943665, 'Man': 0.21393054630607367}, {'Woman': 99.95669722557068, 'Man': 0.04330329247750342}, {'Woman': 99.99961853027344, 'Man': 0.00037876720853091683}, {'Woman': 99.99939203262329, 'Man': 0.0006108075012889458}]","['happy', 'sad', 'happy', 'happy']","['white', 'white', 'white', 'white']","[90.72517475760833, -99.04577238618343, 94.57484611484688, 99.3816779988971]","[92.0385825880403, -0.8690921162459024, 95.50590309823747, 99.61039334346127]","[54.70043976980378, -39.5937906499045, 56.932999988785014, 59.67521191945224]"
Cory Gardner senator,"[29, 39, 30, 39, 39, 33, 34, 44]","[{'Woman': 0.5941367708146572, 'Man': 99.4058609008789}, {'Woman': 1.0428051464259624, 'Man': 98.95719289779663}, {'Woman': 8.801451325416565, 'Man': 91.19855165481567}, {'Woman': 2.608916722238064, 'Man': 97.39108681678772}, {'Woman': 0.18683226080611348, 'Man': 99.81316924095154}, {'Woman': 0.6555722560733557, 'Man': 99.34443235397339}, {'Woman': 3.3059798181056976, 'Man': 96.69402837753296}, {'Woman': 0.23532877676188946, 'Man': 99.76467490196228}]","['fear', 'neutral', 'neutral', 'happy', 'neutral', 'angry', 'happy', 'angry']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[-86.55175517894804, -0.0028988039518433343, -8.342953639811915e-05, 99.79184269135712, -0.07861828066779708, -85.88741817431386, 98.08083447451178, -67.64988055528634]","[5.634579142299344, 0.00016199466085644833, -8.3401377760902e-07, 99.79184277966039, 0.0026832389689843694, 2.917761020728345, 98.08488585835865, 9.057445191449501]","[-33.307551224288545, -0.0011209392170252364, -3.337175767311187e-05, 59.87510563265331, -0.030746418979106238, -33.59201066316565, 58.84931914609027, -25.093498889386787]"
Deb Fischer senator,"[48, 46, 44, 36, 34, 39]","[{'Woman': 99.99784231185913, 'Man': 0.0021619325707433745}, {'Woman': 99.99663829803467, 'Man': 0.003363837458891794}, {'Woman': 99.99617338180542, 'Man': 0.0038314334233291447}, {'Woman': 53.99530529975891, 'Man': 46.00469768047333}, {'Woman': 38.398754596710205, 'Man': 61.60125136375427}, {'Woman': 99.9993085861206, 'Man': 0.000685577469994314}]","['fear', 'happy', 'happy', 'sad', 'sad', 'happy']","['white', 'white', 'white', 'white', 'latino hispanic', 'white']","[-84.5322659239173, 99.69187163623894, 99.28868773735076, -83.51187359899555, -99.93372362225183, 98.58360362072824]","[6.024544842541218, 99.69247248045941, 99.28918554977065, -0.8348643276404805, -0.9864304742233868, 98.58360362924111]","[-32.42505434900522, 59.81524436441417, 59.57331321057609, -33.40469804397206, -39.97088202223425, 59.15016217415671]"
Sherrod Brown senator,"[32, 35, 37, 34, 35, 47, 30, 38]","[{'Woman': 70.37705779075623, 'Man': 29.622942209243774}, {'Woman': 1.46227665245533, 'Man': 98.53772521018982}, {'Woman': 0.11077948147431016, 'Man': 99.88922476768494}, {'Woman': 0.03949037927668542, 'Man': 99.9605119228363}, {'Woman': 0.23930829484015703, 'Man': 99.7606873512268}, {'Woman': 0.009893380047287792, 'Man': 99.99010562896729}, {'Woman': 0.5039631854742765, 'Man': 99.49603080749512}, {'Woman': 0.05222335457801819, 'Man': 99.94778037071228}]","['happy', 'happy', 'happy', 'happy', 'sad', 'surprise', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[99.99681508637447, 99.62148074655383, 99.85436298307009, 97.84775002118022, -84.09321871586144, 30.206899544938345, 99.61697636021637, 99.9999165574588]","[99.99750184945388, 99.62148075826477, 99.8543646226699, 97.84775110692114, 6.825240997597575, 64.33820422996988, 99.61698595636649, 99.99991655745886]","[59.99822779184072, 59.77288845029814, 59.91261812107434, 58.70865023204973, -32.088565630838275, 25.019352794646146, 59.77018775474601, 59.99994993447529]"
Christopher A. Coons senator,"[26, 42, 35, 37, 49, 25, 50]","[{'Woman': 0.01226927270181477, 'Man': 99.98773336410522}, {'Woman': 0.013090141874272376, 'Man': 99.98691082000732}, {'Woman': 0.3870929591357708, 'Man': 99.6129035949707}, {'Woman': 0.11003812542185187, 'Man': 99.88995790481567}, {'Woman': 0.011079527030233294, 'Man': 99.98891353607178}, {'Woman': 27.00817883014679, 'Man': 72.99181818962097}, {'Woman': 0.0006151133220555494, 'Man': 99.99938011169434}]","['happy', 'happy', 'angry', 'angry', 'happy', 'neutral', 'neutral']","['white', 'asian', 'white', 'white', 'white', 'white', 'asian']","[97.59975030319765, 74.79134012205625, -81.95923564271652, -99.90183288008559, 20.34295314988028, -50.75343092685216, -48.203704441402806]","[98.76330110349227, 75.32084976526168, -0.7214451736363117, -0.9988738685171319, 52.61547380792007, -0.36297705405741, -0.4781230045191478]","[58.79491094965488, 44.98177571832576, -32.76386654339149, -39.960703968138546, 18.72547303296651, -20.27216888483963, -19.280691061430844]"
John McCain senator,"[43, 38, 34, 32, 39, 36]","[{'Woman': 0.10853238636627793, 'Man': 99.89147186279297}, {'Woman': 0.048758191405795515, 'Man': 99.95124340057373}, {'Woman': 0.013603997649624944, 'Man': 99.98639822006226}, {'Woman': 1.7316795885562897, 'Man': 98.26831817626953}, {'Woman': 0.05561052239499986, 'Man': 99.94438290596008}, {'Woman': 0.029697574791498482, 'Man': 99.97029900550842}]","['fear', 'sad', 'happy', 'fear', 'happy', 'fear']","['white', 'white', 'white', 'latino hispanic', 'white', 'white']","[-99.78084200268974, -82.06326178423828, 99.59872083255982, -98.4038292287707, 2.737012365518531, -74.4671313179424]","[-0.9238692646637866, 7.588013719549176, 99.59888615439357, -0.20037522363437144, 50.294493243382185, 11.810838008881547]","[-39.89739959797224, -31.126588281899036, 59.759265897886145, -39.203215920063165, 11.249779313829027, -27.250385997467674]"
Jacky Rosen senator,"[48, 33, 32, 33, 29, 33]","[{'Woman': 100.0, 'Man': 1.642368196996813e-06}, {'Woman': 99.99970197677612, 'Man': 0.0002961573500215309}, {'Woman': 99.99939203262329, 'Man': 0.0006052172921044985}, {'Woman': 99.98227953910828, 'Man': 0.017723538621794432}, {'Woman': 99.9996542930603, 'Man': 0.0003476404344837647}, {'Woman': 99.99758005142212, 'Man': 0.0024257962650153786}]","['happy', 'happy', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white']","[93.11632999167324, 91.64827049779312, 99.09758467281557, 88.60611002892256, 96.9636805329872, 99.99907890509007]","[96.04694015486555, 91.64830153683837, 99.09758603140429, 93.86646121554077, 96.96368056123579, 99.99907924360949]","[56.46184045221451, 54.988968569190064, 59.45855107815171, 54.226363226771355, 58.1782083254991, 59.9994474114418]"
John W. Hickenlooper senator,"[42, 36, 35, 53, 35]","[{'Woman': 0.008842897659633309, 'Man': 99.99115467071533}, {'Woman': 0.02932838979177177, 'Man': 99.97066855430603}, {'Woman': 0.18532791873440146, 'Man': 99.81467723846436}, {'Woman': 0.08661882020533085, 'Man': 99.91338849067688}, {'Woman': 0.08810195722617209, 'Man': 99.9118983745575}]","['fear', 'happy', 'happy', 'angry', 'happy']","['white', 'white', 'white', 'white', 'asian']","[-99.99397089331978, 97.0614550231758, 16.446338084121827, -97.78525923126995, 92.01414424460381]","[-0.9969568061897007, 97.0697225595383, 56.860853730789046, -0.9774843753006444, 95.81090933899395]","[-39.996985750713065, 58.23854322327164, 18.032351465961423, -39.11402930523282, 55.975509798154235]"
Ben Ray Lujn senator,[],[],[],[],[],[],[]
Rand Paul senator,"[42, 43, 44, 33, 32, 34, 26, 42, 36]","[{'Woman': 0.1282007433474064, 'Man': 99.87180233001709}, {'Woman': 0.3066117875277996, 'Man': 99.69338178634644}, {'Woman': 3.249339759349823, 'Man': 96.75065875053406}, {'Woman': 0.16804678598418832, 'Man': 99.83194470405579}, {'Woman': 0.06218418711796403, 'Man': 99.93780851364136}, {'Woman': 12.262703478336334, 'Man': 87.73729801177979}, {'Woman': 10.058300942182541, 'Man': 89.94170427322388}, {'Woman': 0.07005691877566278, 'Man': 99.929940700531}, {'Woman': 0.14243657933548093, 'Man': 99.85756874084473}]","['happy', 'happy', 'neutral', 'neutral', 'neutral', 'neutral', 'happy', 'neutral', 'neutral']","['white', 'latino hispanic', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","[98.94176083816181, 44.37458141474053, -34.86819664340146, 38.47777743358165, -23.17347249627346, -0.11059175568454113, 17.602877880896557, -5.234789060273215, -7.8456738498061895]","[99.33442337427688, 67.48511944606435, -0.33345245893724496, 41.54020202765241, 2.7546566663659178, 0.23950830393712794, 54.67888995954244, -0.04825368569163402, 29.799751192331314]","[59.44438226776882, 31.293544410727918, -13.944201989179419, 23.7053380953148, -8.666077606321778, 0.004372231361329665, 18.05183017876943, -2.093088512006034, 2.897732062265277]"
James E. Risch senator,"[48, 46, 26, 51, 42, 34, 34]","[{'Woman': 0.02289734111400321, 'Man': 99.97710585594177}, {'Woman': 0.008870879537425935, 'Man': 99.99113082885742}, {'Woman': 26.854002475738525, 'Man': 73.14599752426147}, {'Woman': 0.1854008762165904, 'Man': 99.81460571289062}, {'Woman': 2.6698680594563484, 'Man': 97.3301351070404}, {'Woman': 0.026388413971289992, 'Man': 99.97361302375793}, {'Woman': 0.03191640425939113, 'Man': 99.96808767318726}]","['sad', 'fear', 'neutral', 'sad', 'angry', 'happy', 'happy']","['white', 'latino hispanic', 'white', 'white', 'white', 'white', 'white']","[-96.25739634527903, -99.89538233421627, 0.08601664380755515, -93.04023626723827, -99.02322328998707, 99.94343865548484, 99.48839682325001]","[-0.9625419930283385, -0.9508445157844108, 0.1435114388850749, -0.6893528696203148, -0.6287348584737629, 99.94372492631511, 99.54765533813179]","[-38.50295207944001, -39.94843388165464, 0.06322509640120373, -37.16739763961207, -39.536259543383494, 59.96612102578187, 59.70500951109784]"
David Perdue senator,"[51, 24, 49, 35, 51, 25, 45, 30, 32]","[{'Woman': 0.000263496099250915, 'Man': 99.99973773956299}, {'Woman': 26.74495577812195, 'Man': 73.25504422187805}, {'Woman': 0.00724683195585385, 'Man': 99.99275207519531}, {'Woman': 0.0024782437321846373, 'Man': 99.99752044677734}, {'Woman': 0.006704613770125434, 'Man': 99.99330043792725}, {'Woman': 0.2855165395885706, 'Man': 99.7144877910614}, {'Woman': 0.10496755130589008, 'Man': 99.89503026008606}, {'Woman': 22.306883335113525, 'Man': 77.69311666488647}, {'Woman': 86.95068955421448, 'Man': 13.049308955669403}]","['happy', 'happy', 'happy', 'sad', 'happy', 'happy', 'angry', 'fear', 'happy']","['asian', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'asian']","[98.06235498682736, 54.30851467451645, 95.92825238865221, -98.96866679116913, 85.63832575873067, 99.8704881654723, -38.84068785700947, -99.85925503292596, 98.98109290726329]","[98.12235086292584, 76.07617238147026, 95.9815992448076, -0.9715369779903132, 85.67507062813404, 99.93449762581498, 29.240404115756974, -0.9364405833999354, 99.4854113013634]","[58.84953337110621, 36.982615412175285, 57.56772857584898, -39.58380011244313, 51.39041866117847, 59.93522410339301, -9.550656760111451, -39.931146060255365, 59.49053824821657]"
Mitch McConnell senator,"[44, 53, 42, 46, 23, 60, 53, 52, 51, 57, 31]","[{'Woman': 3.0400997027754784, 'Man': 96.95990085601807}, {'Woman': 0.6227088160812855, 'Man': 99.37729239463806}, {'Woman': 46.564966440200806, 'Man': 53.43502759933472}, {'Woman': 14.499631524085999, 'Man': 85.50037145614624}, {'Woman': 4.5019689947366714, 'Man': 95.49803137779236}, {'Woman': 0.2478668699041009, 'Man': 99.75213408470154}, {'Woman': 26.06196701526642, 'Man': 73.93803000450134}, {'Woman': 1.595921814441681, 'Man': 98.40407371520996}, {'Woman': 9.186234325170517, 'Man': 90.81376194953918}, {'Woman': 0.4934085998684168, 'Man': 99.50659275054932}, {'Woman': 98.57755899429321, 'Man': 1.4224492944777012}]","['neutral', 'happy', 'angry', 'surprise', 'fear', 'angry', 'happy', 'sad', 'happy', 'happy', 'neutral']","['white', 'white', 'white', 'white', 'black', 'white', 'white', 'white', 'white', 'white', 'white']","[22.836094518424943, 98.21882524958563, -98.06800113622646, 55.61926849592453, -99.05888792831917, -98.77401620550894, 93.98197288629993, -98.44051228173596, 66.2872517868891, 100.00000069172135, -1.0098976195480336]","[27.486806738656014, 98.74815307980847, -0.7618377704497106, 77.58588511703834, -0.5336391085949301, -0.9384865828384923, 94.08233185653914, -0.32798105336872385, 66.33430825557298, 100.00000069252661, -0.009799532378611399]","[14.641194533323869, 59.03823006494791, -39.18298990077088, 37.809261425052455, -39.531242086340136, -39.499656264180025, 56.40945827122222, -39.243593989573455, 39.781857429443335, 60.00000041519549, -0.40389855411883585]"
Marsha Blackburn senator,"[40, 42, 35, 50, 36, 46, 26, 49]","[{'Woman': 100.0, 'Man': 1.2041283525832114e-07}, {'Woman': 99.9998688697815, 'Man': 0.00013433204912871588}, {'Woman': 94.08277869224548, 'Man': 5.917217209935188}, {'Woman': 100.0, 'Man': 3.5005772586194084e-09}, {'Woman': 24.70654994249344, 'Man': 75.29345154762268}, {'Woman': 100.0, 'Man': 1.9678499108000125e-08}, {'Woman': 85.2695643901825, 'Man': 14.730435609817505}, {'Woman': 100.0, 'Man': 6.01070755668065e-10}]","['happy', 'happy', 'neutral', 'happy', 'fear', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'middle eastern', 'white']","[99.98953165998529, 95.15771510306479, -0.0015177176820763876, 15.996994286596433, -88.08704418299038, 98.93810499125506, -3.316836495650932, 57.80968456932076]","[99.98956530812507, 97.33193520019157, 3.085858909656551e-05, 53.34704498034984, 5.015921837268197, 99.44666462454971, 41.01487393124262, 70.40379663733478]","[59.99372579359516, 57.53386544509681, -0.0005977869180997814, 17.143661358574704, -34.04354650570159, 59.465602314610535, 6.965799198951572, 37.230075805837714]"
